$ mvm ls --all
                                                   microVMs                                                   
┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━┓
┃ microvm id                            ┃ state      ┃ image                 ┃ version ┃ started             ┃
│ microvm-5f8942b1-abf7-3abb-a18e-41f8… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:30:11 │
│ microvm-6196f9ff-4194-3cf4-8c9d-2743… │ TERMINATED │ handoff-agent         │ 3.0     │ 2026-09-20 12:22:09 │
│ microvm-62b46d8a-38f0-3034-a04f-8a8c… │ TERMINATED │ handoff-agent         │ 4.0     │ 2026-09-20 14:37:04 │
│ microvm-652b2e39-7b2f-331f-9755-9e40… │ TERMINATED │ handoff-agent         │ 3.0     │ 2026-09-20 12:18:42 │
│ microvm-65d23dd1-739e-3d28-9b67-9aad… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:25:10 │
│ microvm-66991bbb-ef35-3700-a857-9885… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:57:03 │
│ microvm-66d9056f-78e1-3722-96ab-b921… │ TERMINATED │ handoff-agent         │ 3.0     │ 2026-09-20 12:42:27 │
│ microvm-66e13abd-7c0c-34d2-803f-c535… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:04:25 │
│ microvm-69d0a46b-676f-33ab-b3fd-9d7c… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:38:58 │
│ microvm-6b4186a6-6d1f-335c-bf3a-7dc5… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:21:12 │
│ microvm-6cf7333c-ccbe-36f2-beb0-a371… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:11:42 │
│ microvm-6d00428e-62ef-3eea-adf7-db38… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:19:25 │
│ microvm-6ea38828-6cd3-3236-bb41-4326… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:11:32 │
│ microvm-6f571e3d-e46b-3451-ad1c-e701… │ TERMINATED │ handoff-agent         │ 3.0     │ 2026-09-20 12:22:25 │
│ microvm-6facbe69-75f4-317c-8cdf-203c… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:11:37 │
│ microvm-6fca79e8-35dc-33ce-8953-4385… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 15:12:14 │
│ microvm-6ff1cb4c-1091-3440-9ec4-b9ea… │ TERMINATED │ handoff-agent         │ 4.0     │ 2026-09-20 15:02:31 │
│ microvm-719ed4aa-dab5-31f2-8ba4-5f72… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 14:37:49 │
│ microvm-71e05c1c-e921-33c4-843e-64ed… │ TERMINATED │ handoff-agent         │ 4.0     │ 2026-09-20 14:37:40 │
│ microvm-7220bcfc-8a17-3f67-8f83-b48d… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 14:37:49 │
│ microvm-732a48aa-5478-3164-81b7-6df7… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:57:14 │
│ microvm-7525a6df-ddd4-3604-a7eb-916b… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:57:11 │
│ microvm-75b239b4-1a52-3598-9053-a8f8… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:55:56 │
│ microvm-77fc5bd3-31a3-3abf-a434-2eef… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:57:12 │
│ microvm-784f5467-63bb-39e1-924d-2e85… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:29:00 │
│ microvm-785c8471-93aa-3e7e-89aa-3a5f… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 15:03:15 │
│ microvm-78dd0b84-04b2-32a4-9c95-f75e… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:55:56 │
│ microvm-7988e200-cee4-3464-aac1-f9bc… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:56:07 │
│ microvm-79d4618c-c313-34e5-a267-688d… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:55:31 │
│ microvm-7a08b310-a90a-380c-a7f4-5d4d… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:11:32 │
│ microvm-7aa869e1-0ef1-3cac-873f-e781… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:19:18 │
│ microvm-7ab48137-74c1-3694-abd1-52cc… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:20:32 │
│ microvm-7d59842a-ccbd-34bd-a847-f530… │ TERMINATED │ handoff-agent         │ 3.0     │ 2026-09-20 12:38:22 │
│ microvm-7e057bd7-935d-365a-8150-b33e… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:28:12 │
│ microvm-80d05935-76fc-3852-8c5d-e27e… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 14:38:38 │
│ microvm-80da5206-edfe-368d-888a-f9f2… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 15:12:17 │
│ microvm-81170704-d965-3937-ae3e-4698… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:55:45 │
│ microvm-81b99305-b7d7-3ff8-8f06-b971… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:13:21 │
│ microvm-81d72e41-afb9-3d6f-a91a-e5fd… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:38:58 │
│ microvm-82db77e9-5a5c-35e3-8a13-4872… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:56:29 │
│ microvm-831050db-2157-3474-8070-d926… │ TERMINATED │ handoff-agent-small   │ 1.0     │ 2026-09-20 14:38:38 │
│ microvm-83cccca8-8dc4-34e9-aaaa-8514… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:38:58 │
│ microvm-83ecd6ce-ea26-397d-b92e-5f6d… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:23:57 │
│ microvm-85bed64d-7adf-3057-a1e9-8bf4… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:57:34 │
│ microvm-87b34617-014f-31f1-b2fe-8ada… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:56:24 │
│ microvm-88438147-e24b-3377-9d23-54c7… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:28:55 │
│ microvm-8a168ff7-d287-342d-934f-b16c… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:13:46 │
│ microvm-8a2c166b-5653-310c-93d4-c333… │ TERMINATED │ handoff-agent         │ 1.0     │ 2026-09-20 12:13:41 │
│ microvm-8ac0668b-e3e6-3209-ab43-d940… │ TERMINATED │ demo-agent            │ 1.0     │ 2026-09-20 18:42:41 │
